2016-10-28T00:04:31: Error: ENOENT: no such file or directory, open '2016-10-28.json'
2016-10-28T00:04:31: 读取文件失败，可能是该文件不存在
2016-10-28T00:04:41: 读取文件成功
2016-10-28T00:04:41: 读取文件成功
2016-10-28T00:04:44: 读取文件成功
2016-10-28T00:04:47: 读取文件成功
2016-10-28T00:04:50: 读取文件成功
2016-10-28T00:04:53: 读取文件成功
2016-10-28T00:04:56: 读取文件成功
2016-10-28T00:09:51: 读取文件成功
2016-10-28T00:09:53: 读取文件成功
2016-10-28T00:09:56: 读取文件成功
2016-10-28T00:10:05: 读取文件成功
2016-10-28T00:10:05: 读取文件成功
2016-10-28T00:10:06: 读取文件成功
2016-10-28T00:10:08: 读取文件成功
2016-10-28T00:10:13: 读取文件成功
2016-10-28T00:10:14: 读取文件成功
2016-10-28T00:12:33: 读取文件成功
2016-10-28T00:12:33: 读取文件成功
2016-10-28T00:12:35: 读取文件成功
2016-10-28T00:12:38: 读取文件成功
2016-10-28T00:12:41: 读取文件成功
2016-10-28T00:12:44: 读取文件成功
2016-10-28T00:12:51: 读取文件成功
2016-10-28T00:12:51: 读取文件成功
2016-10-28T00:12:53: 读取文件成功
2016-10-28T00:12:56: 读取文件成功
2016-10-28T00:12:59: 读取文件成功
2016-10-28T00:13:02: 读取文件成功
2016-10-28T00:13:05: 读取文件成功
2016-10-28T00:13:08: 读取文件成功
2016-10-28T00:13:11: 读取文件成功
2016-10-28T00:13:14: 读取文件成功
2016-10-28T00:13:17: 读取文件成功
2016-10-28T00:16:58: 读取文件成功
2016-10-28T00:17:01: 读取文件成功
2016-10-28T00:17:04: 读取文件成功
2016-10-28T00:17:14: 读取文件成功
2016-10-28T00:17:14: 读取文件成功
2016-10-28T00:17:14: 读取文件成功
2016-10-28T00:17:16: 读取文件成功
2016-10-28T00:17:22: 读取文件成功
2016-10-28T00:17:22: 读取文件成功
2016-10-28T00:17:26: 读取文件成功
2016-10-28T00:19:53: 读取文件成功
2016-10-28T00:19:56: 读取文件成功
2016-10-28T00:19:59: 读取文件成功
2016-10-28T00:20:02: 读取文件成功
2016-10-28T00:20:05: 读取文件成功
2016-10-28T00:20:08: 读取文件成功
2016-10-28T00:22:38: 读取文件成功
2016-10-28T00:22:41: 读取文件成功
2016-10-28T00:22:41: 读取文件成功
2016-10-28T00:22:44: 读取文件成功
2016-10-28T00:22:48: 读取文件成功
2016-10-28T00:22:50: 读取文件成功
2016-10-28T00:22:53: 读取文件成功
2016-10-28T00:23:00: 读取文件成功
2016-10-28T00:38:10: 读取文件成功
2016-10-28T00:49:14: 读取文件成功
2016-10-28T00:49:14: 读取文件成功
2016-10-28T00:49:15: 读取文件成功
2016-10-28T00:49:17: 读取文件成功
2016-10-28T00:49:21: 读取文件成功
2016-10-28T00:49:24: 读取文件成功
2016-10-28T00:49:30: 读取文件成功
2016-10-28T00:49:30: 读取文件成功
2016-10-28T00:49:33: 读取文件成功
2016-10-28T00:49:35: 读取文件成功
2016-10-28T00:49:39: 读取文件成功
2016-10-28T00:49:41: 读取文件成功
2016-10-28T00:49:45: 读取文件成功
2016-10-28T00:49:50: 读取文件成功
2016-10-28T00:49:51: 读取文件成功
2016-10-28T00:49:53: 读取文件成功
2016-10-28T00:49:56: 读取文件成功
2016-10-28T00:49:59: 读取文件成功
2016-10-28T00:50:02: 读取文件成功
2016-10-28T00:50:05: 读取文件成功
2016-10-28T00:50:09: 读取文件成功
2016-10-28T00:50:12: 读取文件成功
2016-10-28T00:50:15: 读取文件成功
2016-10-28T00:50:17: 读取文件成功
2016-10-28T00:50:20: 读取文件成功
2016-10-28T00:50:23: 读取文件成功
2016-10-28T00:50:27: 读取文件成功
2016-10-28T00:50:29: 读取文件成功
2016-10-28T00:50:32: 读取文件成功
2016-10-28T00:50:39: 读取文件成功
2016-10-28T00:50:41: 读取文件成功
2016-10-28T00:50:42: 读取文件成功
2016-10-28T00:50:44: 读取文件成功
2016-10-28T00:50:51: 读取文件成功
2016-10-28T00:50:51: 读取文件成功
2016-10-28T00:50:54: 读取文件成功
2016-10-28T00:51:01: 读取文件成功
2016-10-28T00:51:01: 读取文件成功
2016-10-28T00:51:03: 读取文件成功
2016-10-28T00:51:06: 读取文件成功
2016-10-28T00:51:08: 读取文件成功
2016-10-28T00:51:12: 读取文件成功
