2016-10-30T00:00:01: Error: ENOENT: no such file or directory, open '2016-10-30.json'
2016-10-30T00:00:01: 读取文件失败，可能是该文件不存在
2016-10-30T00:00:11: 读取文件成功
2016-10-30T00:00:14: 读取文件成功
2016-10-30T00:00:17: 读取文件成功
2016-10-30T00:00:20: 读取文件成功
2016-10-30T00:00:23: 读取文件成功
2016-10-30T00:00:26: 读取文件成功
2016-10-30T00:00:29: 读取文件成功
2016-10-30T00:00:32: 读取文件成功
2016-10-30T00:00:35: 读取文件成功
2016-10-30T00:00:38: 读取文件成功
2016-10-30T00:00:41: 读取文件成功
2016-10-30T00:00:44: 读取文件成功
2016-10-30T00:00:47: 读取文件成功
2016-10-30T00:00:50: 读取文件成功
2016-10-30T00:00:53: 读取文件成功
2016-10-30T00:00:56: 读取文件成功
2016-10-30T00:00:59: 读取文件成功
2016-10-30T00:01:02: 读取文件成功
2016-10-30T00:01:05: 读取文件成功
2016-10-30T00:01:08: 读取文件成功
2016-10-30T00:01:11: 读取文件成功
2016-10-30T00:01:14: 读取文件成功
2016-10-30T00:01:17: 读取文件成功
2016-10-30T00:01:20: 读取文件成功
2016-10-30T00:01:23: 读取文件成功
2016-10-30T00:01:26: 读取文件成功
2016-10-30T00:01:29: 读取文件成功
2016-10-30T00:01:32: 读取文件成功
2016-10-30T00:01:35: 读取文件成功
2016-10-30T00:01:38: 读取文件成功
2016-10-30T00:01:41: 读取文件成功
2016-10-30T00:01:44: 读取文件成功
2016-10-30T00:01:47: 读取文件成功
2016-10-30T00:01:50: 读取文件成功
2016-10-30T00:01:53: 读取文件成功
2016-10-30T00:01:56: 读取文件成功
2016-10-30T00:01:59: 读取文件成功
2016-10-30T00:02:02: 读取文件成功
2016-10-30T00:02:05: 读取文件成功
2016-10-30T00:02:08: 读取文件成功
2016-10-30T00:02:11: 读取文件成功
2016-10-30T00:02:14: 读取文件成功
2016-10-30T00:02:17: 读取文件成功
2016-10-30T00:02:20: 读取文件成功
2016-10-30T00:02:23: 读取文件成功
2016-10-30T00:02:26: 读取文件成功
2016-10-30T00:02:29: 读取文件成功
2016-10-30T00:02:32: 读取文件成功
2016-10-30T00:02:35: 读取文件成功
2016-10-30T00:02:38: 读取文件成功
2016-10-30T00:02:41: 读取文件成功
2016-10-30T00:02:44: 读取文件成功
2016-10-30T00:02:47: 读取文件成功
2016-10-30T00:02:50: 读取文件成功
2016-10-30T00:02:53: 读取文件成功
2016-10-30T00:02:56: 读取文件成功
2016-10-30T00:02:59: 读取文件成功
2016-10-30T00:03:02: 读取文件成功
2016-10-30T00:03:05: 读取文件成功
2016-10-30T00:03:08: 读取文件成功
2016-10-30T00:03:11: 读取文件成功
2016-10-30T00:03:14: 读取文件成功
2016-10-30T00:03:17: 读取文件成功
2016-10-30T00:03:20: 读取文件成功
2016-10-30T00:03:23: 读取文件成功
2016-10-30T00:03:26: 读取文件成功
2016-10-30T00:03:29: 读取文件成功
2016-10-30T00:03:32: 读取文件成功
2016-10-30T00:03:35: 读取文件成功
2016-10-30T00:03:38: 读取文件成功
2016-10-30T00:03:41: 读取文件成功
2016-10-30T00:03:44: 读取文件成功
2016-10-30T00:03:47: 读取文件成功
2016-10-30T00:03:50: 读取文件成功
2016-10-30T00:03:53: 读取文件成功
2016-10-30T00:03:56: 读取文件成功
2016-10-30T00:03:59: 读取文件成功
2016-10-30T00:04:02: 读取文件成功
2016-10-30T00:04:05: 读取文件成功
2016-10-30T00:04:08: 读取文件成功
2016-10-30T00:04:11: 读取文件成功
2016-10-30T00:04:14: 读取文件成功
2016-10-30T00:04:17: 读取文件成功
2016-10-30T00:04:20: 读取文件成功
2016-10-30T00:04:23: 读取文件成功
2016-10-30T00:04:26: 读取文件成功
2016-10-30T00:04:29: 读取文件成功
2016-10-30T00:04:32: 读取文件成功
2016-10-30T00:04:35: 读取文件成功
2016-10-30T00:04:38: 读取文件成功
2016-10-30T00:04:41: 读取文件成功
2016-10-30T00:04:44: 读取文件成功
2016-10-30T00:04:47: 读取文件成功
2016-10-30T00:04:50: 读取文件成功
2016-10-30T00:04:53: 读取文件成功
2016-10-30T00:04:56: 读取文件成功
2016-10-30T00:04:59: 读取文件成功
2016-10-30T00:05:02: 读取文件成功
2016-10-30T00:05:05: 读取文件成功
2016-10-30T00:05:08: 读取文件成功
2016-10-30T00:05:11: 读取文件成功
2016-10-30T00:05:14: 读取文件成功
2016-10-30T00:05:17: 读取文件成功
2016-10-30T00:05:20: 读取文件成功
2016-10-30T00:05:23: 读取文件成功
2016-10-30T00:05:26: 读取文件成功
2016-10-30T00:05:29: 读取文件成功
2016-10-30T00:05:32: 读取文件成功
2016-10-30T00:05:35: 读取文件成功
2016-10-30T00:05:38: 读取文件成功
2016-10-30T00:05:42: 读取文件成功
2016-10-30T00:05:45: 读取文件成功
2016-10-30T00:05:48: 读取文件成功
2016-10-30T00:05:51: 读取文件成功
2016-10-30T00:05:54: 读取文件成功
2016-10-30T00:05:57: 读取文件成功
2016-10-30T00:06:00: 读取文件成功
2016-10-30T00:06:03: 读取文件成功
2016-10-30T00:06:06: 读取文件成功
2016-10-30T00:06:09: 读取文件成功
2016-10-30T00:06:12: 读取文件成功
2016-10-30T00:06:15: 读取文件成功
2016-10-30T00:06:18: 读取文件成功
2016-10-30T00:06:21: 读取文件成功
2016-10-30T00:06:24: 读取文件成功
2016-10-30T00:06:27: 读取文件成功
2016-10-30T00:06:30: 读取文件成功
2016-10-30T00:06:33: 读取文件成功
2016-10-30T00:06:36: 读取文件成功
2016-10-30T00:06:39: 读取文件成功
2016-10-30T00:06:42: 读取文件成功
2016-10-30T00:06:45: 读取文件成功
2016-10-30T00:06:48: 读取文件成功
2016-10-30T00:06:51: 读取文件成功
2016-10-30T00:06:54: 读取文件成功
2016-10-30T00:06:57: 读取文件成功
2016-10-30T00:07:00: 读取文件成功
2016-10-30T00:07:03: 读取文件成功
2016-10-30T00:07:06: 读取文件成功
2016-10-30T00:07:09: 读取文件成功
2016-10-30T00:07:12: 读取文件成功
2016-10-30T00:07:15: 读取文件成功
2016-10-30T00:07:18: 读取文件成功
2016-10-30T00:07:21: 读取文件成功
2016-10-30T00:07:24: 读取文件成功
2016-10-30T00:07:27: 读取文件成功
2016-10-30T00:07:30: 读取文件成功
2016-10-30T00:07:33: 读取文件成功
2016-10-30T00:07:36: 读取文件成功
2016-10-30T00:07:39: 读取文件成功
2016-10-30T00:07:42: 读取文件成功
2016-10-30T00:07:45: 读取文件成功
2016-10-30T00:07:48: 读取文件成功
2016-10-30T00:07:51: 读取文件成功
2016-10-30T00:07:54: 读取文件成功
2016-10-30T00:07:57: 读取文件成功
2016-10-30T00:08:00: 读取文件成功
2016-10-30T00:08:03: 读取文件成功
2016-10-30T00:08:06: 读取文件成功
2016-10-30T00:08:09: 读取文件成功
2016-10-30T00:08:12: 读取文件成功
2016-10-30T00:08:15: 读取文件成功
2016-10-30T00:08:18: 读取文件成功
2016-10-30T00:08:21: 读取文件成功
2016-10-30T00:08:24: 读取文件成功
2016-10-30T00:08:27: 读取文件成功
2016-10-30T00:08:30: 读取文件成功
2016-10-30T00:08:33: 读取文件成功
2016-10-30T00:08:36: 读取文件成功
2016-10-30T00:08:39: 读取文件成功
2016-10-30T00:08:42: 读取文件成功
2016-10-30T00:08:45: 读取文件成功
2016-10-30T00:08:48: 读取文件成功
2016-10-30T00:08:51: 读取文件成功
2016-10-30T00:08:54: 读取文件成功
2016-10-30T00:08:57: 读取文件成功
2016-10-30T00:09:00: 读取文件成功
2016-10-30T00:09:03: 读取文件成功
2016-10-30T00:09:06: 读取文件成功
2016-10-30T00:09:09: 读取文件成功
2016-10-30T00:09:12: 读取文件成功
2016-10-30T00:09:15: 读取文件成功
2016-10-30T00:09:18: 读取文件成功
2016-10-30T00:09:21: 读取文件成功
2016-10-30T00:09:24: 读取文件成功
2016-10-30T00:09:27: 读取文件成功
2016-10-30T00:09:30: 读取文件成功
2016-10-30T00:09:33: 读取文件成功
2016-10-30T00:09:36: 读取文件成功
2016-10-30T00:09:39: 读取文件成功
