2016-10-27T00:00:02: Error: ENOENT: no such file or directory, open '2016-10-27.json'
2016-10-27T00:00:02: 读取文件失败，可能是该文件不存在
2016-10-27T00:00:11: 读取文件成功
2016-10-27T00:00:14: 读取文件成功
2016-10-27T00:00:17: 读取文件成功
2016-10-27T00:00:20: 读取文件成功
2016-10-27T00:00:23: 读取文件成功
2016-10-27T00:00:26: 读取文件成功
2016-10-27T00:00:29: 读取文件成功
2016-10-27T00:00:32: 读取文件成功
2016-10-27T00:00:35: 读取文件成功
2016-10-27T00:00:38: 读取文件成功
2016-10-27T00:00:41: 读取文件成功
2016-10-27T00:00:44: 读取文件成功
2016-10-27T00:00:47: 读取文件成功
2016-10-27T00:00:50: 读取文件成功
2016-10-27T00:00:53: 读取文件成功
2016-10-27T00:00:56: 读取文件成功
2016-10-27T00:00:59: 读取文件成功
2016-10-27T00:01:02: 读取文件成功
2016-10-27T00:01:05: 读取文件成功
2016-10-27T00:01:08: 读取文件成功
2016-10-27T00:01:11: 读取文件成功
2016-10-27T00:01:14: 读取文件成功
2016-10-27T00:01:17: 读取文件成功
2016-10-27T00:01:20: 读取文件成功
2016-10-27T00:01:23: 读取文件成功
2016-10-27T00:01:26: 读取文件成功
2016-10-27T00:01:29: 读取文件成功
2016-10-27T00:01:32: 读取文件成功
2016-10-27T00:01:35: 读取文件成功
2016-10-27T00:01:38: 读取文件成功
2016-10-27T00:01:41: 读取文件成功
2016-10-27T00:01:44: 读取文件成功
2016-10-27T00:01:48: 读取文件成功
2016-10-27T00:01:50: 读取文件成功
2016-10-27T00:01:53: 读取文件成功
2016-10-27T00:01:56: 读取文件成功
2016-10-27T00:01:59: 读取文件成功
2016-10-27T00:02:02: 读取文件成功
2016-10-27T00:02:05: 读取文件成功
2016-10-27T00:02:08: 读取文件成功
2016-10-27T00:02:11: 读取文件成功
2016-10-27T00:02:14: 读取文件成功
2016-10-27T00:02:17: 读取文件成功
2016-10-27T00:02:20: 读取文件成功
2016-10-27T00:02:24: 读取文件成功
2016-10-27T00:02:26: 读取文件成功
2016-10-27T00:02:30: 读取文件成功
2016-10-27T00:02:32: 读取文件成功
2016-10-27T00:02:35: 读取文件成功
2016-10-27T00:02:38: 读取文件成功
2016-10-27T00:02:41: 读取文件成功
2016-10-27T00:02:44: 读取文件成功
2016-10-27T00:02:48: 读取文件成功
2016-10-27T00:02:50: 读取文件成功
2016-10-27T00:02:53: 读取文件成功
2016-10-27T00:02:57: 读取文件成功
2016-10-27T00:03:00: 读取文件成功
2016-10-27T00:03:03: 读取文件成功
2016-10-27T00:03:06: 读取文件成功
2016-10-27T00:03:09: 读取文件成功
2016-10-27T00:03:12: 读取文件成功
